Country,ETI
Sweden,78.5
Denmark,76.1
Norway,73.7
Finland,72.8
Switzerland,72.4
Iceland,70.6
France,70.6
Austria,69.3
Netherlands,68.8
Estonia,68.2
Germany,67.5
United States,66.3
United Kingdom,66.2
Brazil,65.9
Portugal,65.8
Spain,65
China,64.9
Hungary,64.3
Canada,64.2
Luxembourg,64.2
Turkey,54.3
Ireland,59.3
Cyprus,56.4
Belgium,59.2
Slovakia,58.8
Italy,60.6
Russia,0
